gameID,Time,season,homeGoals,awayGoals,temp,dewPointC,humidity,windSpeedKPH,weather,HTGoalsHome,HTGoalsAway
372,20:00:00,2015,0,2,4.77,2.08,83,16.21,Rain Showers,0,1
373,00:00:00,2015,1,0,8.37,6.29,87,24.71,Mostly Cloudy,1,0
374,16:45:00,2015,0,2,18.41,10.73,61,13.12,Partly Cloudy,0,2
375,19:00:00,2015,0,1,22.78,11.42,49,7.45,Mostly Sunny,0,1
376,19:00:00,2015,2,2,23.99,13.96,53,9.68,Mostly Sunny,1,1
377,19:00:00,2015,1,2,23.19,14.05,56,7.41,Rain Showers,0,1
378,19:00:00,2015,0,1,19.97,13.74,67,7.41,Partly Cloudy,0,0
379,21:30:00,2015,1,0,16.66,15.02,90,9.26,Rain Showers,0,0
380,17:30:00,2015,3,2,19.39,12.73,65,16.17,Rain Showers,0,2
381,17:30:00,2015,1,1,19.1,12.96,68,29.94,Mostly Sunny,0,1
382,20:00:00,2015,0,1,17.28,14.16,82,10.19,Rain Showers,0,1
383,20:00:00,2015,3,0,18.54,13.81,74,14.29,Rain Showers,2,0
384,15:45:00,2015,0,4,11.33,8.86,85,14.05,Partly Cloudy,0,2
385,18:00:00,2015,4,0,11.84,8.86,82,12.96,Mostly Clear,2,0
386,18:00:00,2015,0,4,10.75,7.61,81,11.11,Rain Showers,0,3
387,18:00:00,2015,3,2,7.99,5.44,84,3.92,Rain Showers,1,0
388,18:00:00,2015,2,2,9.44,9.29,99,14.82,Rain Showers,1,0
389,18:00:00,2015,0,0,8.07,6.53,90,14.82,Mostly Cloudy,0,0
390,18:00:00,2015,2,2,12.2,8.88,80,12.96,Mostly Clear,2,1
391,20:30:00,2015,1,1,9.99,7.97,87,9.26,Isolated Showers,0,0
392,16:30:00,2015,1,0,1.98,-0.76,82,3.89,Partly Cloudy,1,0
393,19:00:00,2015,1,0,3.95,2.27,89,8.33,Rain Showers,0,0
394,15:45:00,2015,3,3,20.05,13.71,67,7.41,Rain Showers,2,2
395,18:00:00,2015,1,1,19.47,14.27,72,9.26,Mostly Cloudy,1,1
396,18:00:00,2015,3,1,18.3,12.4,68,8.15,Partly Cloudy,2,0
397,18:00:00,2015,1,0,18.15,14.76,81,12.96,Rain Showers,1,0
398,18:00:00,2015,1,2,18.42,12.31,68,13.45,Rain Showers,0,1
399,18:00:00,2015,1,0,18.78,13.05,69,6.86,Mostly Cloudy,0,0
400,20:30:00,2015,2,1,15.51,11.98,80,5.56,Mostly Clear,1,1
401,16:30:00,2015,0,2,15,12.14,83,12.96,Partly Cloudy,0,0
402,19:00:00,2015,3,0,15.19,11.39,78,9.26,Mostly Clear,0,0
403,19:00:00,2015,4,1,16.09,7.21,56,11.04,Mostly Clear,2,1
404,23:00:00,2015,0,0,-1.81,-4.92,79,14.82,Mostly Clear,0,0
405,15:45:00,2015,0,3,11.8,8.54,80,16.67,Rain Showers,0,1
406,18:00:00,2015,1,0,12.4,4.44,58,11.11,Mostly Cloudy,1,0
407,18:00:00,2015,1,1,11.74,5.78,67,15.24,Mostly Sunny,0,0
408,18:00:00,2015,3,0,11.23,4.21,62,18.92,Partly Cloudy,1,0
409,18:00:00,2015,0,1,10.89,5.02,67,10.69,Mostly Sunny,0,1
410,20:30:00,2015,0,3,10.82,9.22,90,5.56,Rain Showers,0,1
411,16:30:00,2015,2,2,13.43,6.08,61,13.15,Mostly Sunny,1,0
412,16:30:00,2015,1,2,15.55,5.49,51,11.19,Partly Cloudy,0,2
